Family_Scientific,Family_Common,General_characteristics_Australia_focused,Rainforest_species_present?,Examples from your list,Familiar / interesting native Australian examples and approximate diversity,Key_references
Poaceae,true grass family,"Poaceae, the true grass family, is Australia’s third-largest flowering plant family, with approximately 1,300 species recorded nationally. Grasses occur in almost every Australian habitat, from tropical savannas and alpine plains to deserts and coastal dunes. In many inland regions they dominate the landscape, particularly the hummock grasslands of arid Australia and the temperate grassy woodlands of the southeast. Ecologically, grasses are foundational species that influence fire regimes, erosion control, grazing systems and carbon storage. Economically, the family includes globally important cereal crops, while native grasses are increasingly valued in ecological restoration and low-water landscaping.",Minor,"Oplismenus imbecillis, Entolasia stricta","Spinifex (Triodia spp.; ~65 species), kangaroo grass (Themeda triandra), wallaby grasses (Rytidosperma spp.; ~100 species), poa tussock grasses (Poa spp.). Spinifex grasslands cover enormous areas of the Australian outback and provide critical shelter for reptiles, birds and small mammals. Some native grasses, such as Micraira, are remarkable “resurrection plants” capable of surviving near-complete desiccation and reviving after rain. Indigenous Australians have long used native grasses for seed harvesting, weaving and habitat management through cultural burning.",https://profiles.ala.org.au/opus/foa/profile/Poaceae ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia/vol43 ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia/vol44b ; https://www.anbg.gov.au/grass/poaceae.html
Fabaceae,pea family,"Fabaceae is one of Australia’s largest and most ecologically significant flowering plant families. Many species form symbiotic relationships with nitrogen-fixing bacteria, allowing them to thrive in nutrient-poor Australian soils. The family ranges from towering rainforest trees to desert shrubs and delicate pea flowers. Many species are highly adapted to fire and disturbance and flower prolifically after rain.",Yes,"Archidendropsis basaltica, Adenanthera abrosperma","Wattles (Acacia spp.; ~1,000 Australian species), Sturt’s desert pea (Swainsona formosa), blackwood (Acacia melanoxylon). Acacia is Australia’s largest genus of flowering plants and the golden wattle is the national floral emblem. Wattle flowering is culturally significant and widely associated with the beginning of spring in Australia.",https://www.agriculture.gov.au/abares/forestsaustralia/australias-forests/profiles/acacia-2019 ; https://anpsa.org.au/genera/acacia/ ; https://www.csiro.au/en/news/all/articles/2024/august/wattle-facts ; https://profiles.ala.org.au/opus/foa/profile/Fabaceae
Myrtaceae,eucalypt family,Myrtaceae is one of the defining plant families of Australia and dominates much of the continent’s forests and woodlands. Most species contain aromatic oils in their leaves and possess strong fire adaptations such as epicormic resprouting or lignotubers. Australia is a global centre of diversity for the family and many species are ecologically dominant canopy trees.,Strongly yes,"Syncarpia glomulifera, Lophostemon confertus, Backhousia-type wet taxa","Eucalypts (Eucalyptus, Corymbia, Angophora; ~900 species), paperbarks (Melaleuca spp.; ~300 species), bottlebrushes (Callistemon spp.), lilly pillies (Syzygium spp.). Old eucalypts develop hollows essential for parrots, possums, bats and owls, though these hollows can take more than a century to form. Eucalypt oils evolved partly as protection against heat stress and herbivory.",https://www.agriculture.gov.au/abares/forestsaustralia/profiles/eucalypt-2016 ; https://www.agriculture.gov.au/abares/forestsaustralia/australias-forests/profiles/eucalypt-2019 ; https://www.agriculture.gov.au/abares/forestsaustralia/australias-forests/profiles/melaleuca-2019 ; https://www.csiro.au/en/research/plants/native/identifying-eucalypts-made-easy
Chenopodiaceae,NA,"Traditionally recognised as the saltbush family, this group contains many drought- and salt-tolerant species adapted to Australia’s inland and semi-arid regions. Many species have succulent or silvery-grey leaves that reduce water loss and reflect heat. Chenopod shrublands are among the defining vegetation types of inland Australia.",No,Mostly arid/saline taxa,"Saltbushes (Atriplex spp.; ~90 Australian species), bluebushes (Maireana spp.; ~60 species), samphires (Tecticornia spp.; ~40 species). These plants can survive in highly saline soils where few others can grow and are important forage plants in rangelands.",https://www.anbg.gov.au/saltlake/chenopodiaceae.html ; https://profiles.ala.org.au/opus/foa/profile/Amaranthaceae ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia
Asteraceae,daisy family,"Asteraceae is one of the largest flowering plant families in Australia and globally. Members are characterised by composite flower heads made up of many tiny individual flowers packed together to resemble a single bloom. Australian native daisies are especially prominent in grasslands, alpine regions and arid landscapes.",Minor,Mostly alpine/wet heath taxa rather than rainforest,"Everlasting daisies (Xerochrysum spp.), billy buttons (Pycnosorus spp.), native daisies (Brachyscome spp.; ~70 species). Inland Australia can experience spectacular mass flowering events after rain, transforming dry landscapes into colourful wildflower displays.",https://anpsa.org.au/australian-daisy-study-group/ ; https://profiles.ala.org.au/opus/foa/profile/Asteraceae ; https://www.anbg.gov.au/gardens/education/programs/pdfs/daisy-family.pdf
Malvaceae,hibiscus family,"Malvaceae includes shrubs and trees often recognised by soft leaves, fibrous bark and large showy flowers. Australian representatives range from rainforest trees to drought-adapted outback species. Many have cultural significance and are widely used in horticulture.",Minor,Some monsoon vine thicket associates,"Kurrajongs (Brachychiton spp.; ~30 species), native hibiscus (Hibiscus heterophyllus), boab (Adansonia gregorii). Boabs can store large amounts of water in swollen trunks, helping them survive long dry seasons in northern Australia. Kurrajong seeds were traditionally eaten after roasting.",https://anpsa.org.au/plant_profiles/brachychiton-species/ ; https://profiles.ala.org.au/opus/foa/profile/Malvaceae ; https://www.australiangeographic.com.au/topics/science-environment/2016/06/boab-trees/
Cyperaceae,sedge family,"Sedges are grass-like plants especially common in wetlands, swamps and along waterways. Unlike grasses, they usually have solid triangular stems, leading to the field saying “sedges have edges”. Sedges play an important ecological role in water filtration and wetland habitat structure.",Minor,"Wet forest sedges, not rainforest canopy taxa","Sword sedges (Lepidosperma spp.; ~70 species), spike-rushes (Eleocharis spp.), umbrella sedges (Cyperus spp.). Sedges provide important shelter and nesting habitat for frogs, fish and wetland birds and are increasingly used in urban water-sensitive design.",https://www.rbg.vic.gov.au/science/herbarium-and-resources/identification-services/sedges-and-rushes/ ; https://profiles.ala.org.au/opus/foa/profile/Cyperaceae ; https://www.anbg.gov.au/cpbr/cd-keys/rfk/key/rushes/Media/Html/families/Cyperaceae.htm
Proteaceae,e.g. banksia spp.,Australia is one of the world’s great centres of diversity for the ancient Proteaceae family. Many species are highly adapted to nutrient-poor soils through specialised proteoid roots and to fire through woody seed cones or underground resprouting structures. The family is especially prominent in southwestern Australia and eastern heathlands.,Yes,"Orites, some wet forest Banksia","Banksias (Banksia spp.; ~170 species), grevilleas (Grevillea spp.; ~360 Australian species), hakeas (Hakea spp.; ~150 species), waratahs (Telopea spp.). Banksia flower spikes can contain thousands of tiny nectar-rich flowers that support birds, insects and mammals. Macadamia is Australia’s only globally commercialised native food crop.",https://en.wikipedia.org/wiki/Proteaceae ; https://en.wikipedia.org/wiki/Banksia ; https://en.wikipedia.org/wiki/Grevillea ; https://www.botanicgardens.org.au/sites/default/files/2023-06/Volume-6%284%29-2000-Cun64951Mye-1015.pdf
Scrophulariaceae,NA,"Scrophulariaceae includes mostly herbs and shrubs with tubular flowers adapted for insect pollination. Australian representatives often occur in semi-arid habitats and can appear rapidly after rainfall events. Historically, many genera once placed in this family have been reassigned following DNA studies.",Very limited,Mostly non-rainforest,"Stemodia spp., native foxglove relatives and various small annual herbs. Several species are short-lived opportunists that flourish after seasonal rains.",https://profiles.ala.org.au/opus/foa/profile/Scrophulariaceae ; https://www.dcceew.gov.au/science-research/abrs/publications/flora-of-australia ; https://anpsa.org.au/plant-family/scrophulariaceae/
Goodeniaceae,NA,"Goodeniaceae is a distinctly Australian family best known for its unusual fan-shaped flowers and diverse heathland species. Many species occur in sandy soils, coastal dunes and nutrient-poor shrublands. Australia is the global centre of diversity for the family.",No major rainforest taxa,Mostly open habitats,"Fan flowers (Scaevola spp.; ~130 species), Goodenia spp. (~180 species). The unusual split-petal flowers are highly distinctive and many species are important nectar plants for native insects.",https://anpsa.org.au/plant-family/goodeniaceae/ ; https://profiles.ala.org.au/opus/foa/profile/Goodeniaceae ; https://www.anbg.gov.au/cpbr/cd-keys/rfk/key/rainforest/Media/Html/families/Goodeniaceae.htm
